RANDY,NA,H You know it's it was really pretty straightforward this morning
LANCE,WA,H
RANDY,NA,H And y z I thought you did a good job all the way through I mean you were on top of what you were scanning
LANCE,WA,Hm Thanks SNIFF
RANDY,NA,um
LANCE,WA,should've kept that one Horizon Fauker jet just t keep em on the right
RANDY,NA,Why did you switch em
LANCE,WA,H Well Hx looking at something I would get it didn't seem like I could get someone else out But H um and part of it to provide a good service but then
RANDY,NA,Yeah H Well that that I guess that's one reason the two eight's kind of well two eight's kinda nice sometimes because I mean when we're on ten all the departures seemed like they're going out the left
LANCE,WA,SNIFF
RANDY,NA,H so you really want your arrivals on the right When you're landing two eight H then you can get departures off of almost both at any time
LANCE,WA,SNIFF
RANDY,NA,So you always got a hole
LANCE,WA,N_yeah Yeah
RANDY,NA,So but uh don't feel bad about keeping Horizon on the right X boy X because
LANCE,WA,Mhm
RANDY,NA,H sure doesn't hurt them to taxi X any X They're so used to having A number one service
LANCE,WA,"TSK H Yeah plus when they're departing,g"
RANDY,NA,every one of em came
LANCE,WA,they're right by the gate H Everyone even even one or one or two of em I said I'll advise if the left becomes available H and they said w
RANDY,NA,and they they still ask
LANCE,WA,we'd like the left if it becomes available 
RANDY,NA, H@ I know they still ask
LANCE,WA,SNIFF
RANDY,NA,And Viking is the same way H
LANCE,WA,Yeah
RANDY,NA,So There's sh there's sure nothing wrong with keeping em on the right though Um Traffic Watch Eight we discussed
LANCE,WA,H TSK So radar service terminated
RANDY,NA,um call me inbound or
RANDY,NA,H You wanna say Q radar service terminated frequency change approved Report back inbound Q Or H I I think that something a little ttle more like that's better than just saying radar service terminated because he's kinda
LANCE,WA,SNIFF
RANDY,NA,Left hanging
LANCE,WA,Okay
RANDY,NA,And you could just say radar service terminated report back inbound and then he'll he'll either come back and say well I'm departing the area now back to Hillsborrow H Or I'll call you back inbound So that gives you an idea
LANCE,WA,Okay
RANDY,NA,But uh and uh H Along with that Let TC do more of the work for you
LANCE,WA,Okay
RANDY,NA,you know Um just tell her what you want her to do
LANCE,WA,SNIFF
RANDY,NA,H I was thinking of a couple instances where you could've used her more than you did
LANCE,WA,Okay H I was thinking that for my rundowns you know that would that's that would have been a help but H on the other s the other hand
BILL,NA,I wanna get it on tape heck of a job Lance
RANDY,NA,H H H
LANCE,WA,Oh thank you very much Did you hear that H um H
RANDY,NA,H The problem with doing rundowns is that it's kind of over in your face
LANCE,WA,Yeah Yeah So
RANDY,NA,Cause the D-light's kind of pretty far over to the left there but sh you can you can have her do it if you want
LANCE,WA,TSK H Um H I would I'm just working at doing as much of these other things as I possibly can Because they'll be times when I won't have a TC and just just challenging myself
RANDY,NA,And that's okay H
LANCE,WA,H Um what were some of the things other than what what were some of the things that H that I should have used her for that I didn't
RANDY,NA,H Depending on who your
LANCE,WA,SNIFF
RANDY,NA,Who your TC is if c certain people sit down there they d they have a tendency to do everything for you H And sometimes that is p that is really pretty nice H If you just if you just all you have to do is stand up and look out the window and look at the bright and talk You no other w no other coordination or or ARTS functions or anything H That really is nice
LANCE,WA,TSK That's ideal
RANDY,NA,It it really helps
LANCE,WA,Mhm
RANDY,NA,the situation
LANCE,WA,Mhm
RANDY,NA,So but Right now like you say maybe it is better for you to do some of that stuff
LANCE,WA,SNIFF TSK um I don't think there was Hx I mean I had just a couple that I switched to the left you know maybe three or so that I switched to the left uh p uh probably two or three H and so there was that I didn't have any ARTS entries I had you know Traffic Watch to slue out to
RANDY,NA,YAWN
LANCE,WA,um
RANDY,NA,YAWN YWN Yeah YWN
LANCE,WA,For the most part I mean I was able to k I think I was able to keep up with that stuff
RANDY,NA,With the ARTS
LANCE,WA,Yeah I mean there wasn't really nothing much to do H um
RANDY,NA,No there wasn't
LANCE,WA,So
RANDY,NA,But there could be
LANCE,WA,Yeah
RANDY,NA,If there's VFRs departing or
LANCE,WA,Yeah I told her to do my VFR guys
RANDY,NA,h Yeah
LANCE,WA,And um to write down my VFRs H That's one thing I gotta kick myself to do
RANDY,NA,Yeah
LANCE,WA,Now are we still required to w write like the Empires that coming in through the gates VFR Don't they We are
RANDY,NA,Any VFR
LANCE,WA,h H Now isn't that aren't they when they c But what if they've c well I guess we have no way of knowing if they've come in IFR and then cancelled VFR
RANDY,NA,Well yeah because they have a strip on it downstairs
LANCE,WA,Mhm
RANDY,NA,So I don't actually I'm like you I don't really know what the point is of that Because we do have a record of em anyway But
LANCE,WA,Mhm
RANDY,NA,when the when the order came across or whatever X or this X memorandum that said to write down all VFR arrivals
LANCE,WA,TSK Okay
RANDY,NA,So if they're a VFR arrival you're supposed to write it down
LANCE,WA,Okay P I'll do that then P
RANDY,NA,Unhunh H When Horizon one-thirty-eight didn't answer you there
LANCE,WA,H Go back to ground
RANDY,NA,Yeah
LANCE,WA,or just move on to something else
RANDY,NA,I mean you tried him a couple times You say Horizon one-thirty-eight XXXXX if they don't get the hint if he's H but if you can't get him just go on and do something else that you can do United was calling ready to go
LANCE,WA,Yeah
RANDY,NA,So shoot just let United go Horizon
LANCE,WA,Yeah
RANDY,NA,you can't do nothing with him so just have him hold there So just go on to the next
LANCE,WA,TSK Okay
RANDY,NA,Next thing and do tell ground He might be still on ground frequency which is
LANCE,WA,SNIFF
RANDY,NA,H uh usually not too likely because you know
LANCE,WA,At that point
RANDY,NA,At that point well he's out there
LANCE,WA,you know He's
RANDY,NA,and he's probably sitting there
LANCE,WA,SNIFF
RANDY,NA,and th he's not hearing anything Hx from the tower you know
LANCE,WA,Yeah
RANDY,NA,he's probably looking at his radio about then H Hx
LANCE,WA,H Yeah I think I was a little bit rigid in my planning of that cause I wanted to had to plan to get him out at that point and I should've been more flexible and
RANDY,NA,But uh you know HX everything else I saw H you your separation was was really good this morning I mean you really tightened em up Maybe a couple times almost a little bit too tight
LANCE,WA,a little to tight SNORT H
