PHIL,NA,But H X But X anyways back to the the first thing
BRAD,NA,Okay
PHIL,NA,what we were talking about was
BRAD,NA,Yeah
PHIL,NA,H
BRAD,NA,I've gotta pick up Pat
PHIL,NA,Hx
BRAD,NA,I l I dropped her off at the bookkeeper
PHIL,NA,WRITING
BRAD,NA,H Uh
PHIL,NA,TSK Uh I would prefer that WRITING that you were there on one hand because I think that it would be most expedient But I think H what was felt was that at this point rather than ha than create H TSK I don't really f find it to be you know a confrontation by any means but H
BRAD,NA,Mhm
PHIL,NA,I just think they wanna be able to just kind of figure out I think our board eh quite frankly we have more problems to resolve interior than we do H TSK outside of it
BRAD,NA,Hm
PHIL,NA,I think most of it is just attitudes
BRAD,NA,Hm
PHIL,NA,H I think you know like I said what we need to do is this board has to realize in my opinion that that they have to come to grips with H the fact that they are responsible for basically what they've created
BRAD,NA,Mhm
PHIL,NA,Okay You know H
BRAD,NA,Mhm
PHIL,NA,You can't th penalize somebody for m-
BRAD,NA,H And the Vetters are somewhat responsible
PHIL,NA,H That's right
BRAD,NA,H and that's uh 
PHIL,NA,X Mhm X>
BRAD,NA,well it was far beyond our control
PHIL,NA,TSK H Well and the thing is I mean
BRAD,NA,H That uh
PHIL,NA,we're we're a different board We are not the same
BRAD,NA,Yeah
PHIL,NA,And we have to do that
BRAD,NA,H That's right
PHIL,NA,but we have to realize that there's H the faults here we have to claim responsibilities H I mean
BRAD,NA,Mhm
PHIL,NA,I think there was there's manners of of speaking that I was very outspoken about at this meeting you know w that I talked to H uh Bill and Carmela and Nancy about you know and they X we did they asked me to meet with them about Teresa's thing
BRAD,NA,Mhm
PHIL,NA,H that I find v really nothing to be honest nothing of any validity
BRAD,NA,H Well I you know
PHIL,NA,Okay
BRAD,NA,I have spoken twice with Teresa
PHIL,NA,Did you Unhunh
BRAD,NA,Yeah
PHIL,NA,H
BRAD,NA,And I told her exactly well i t I simply told her what H what I know to have happ and I it's to me it's n just ludicrous and I H anyway we w we went through the whole thing and H uh and and I also said that it would probably be brought up at board retreat or D_I don't know Uh
PHIL,NA,H Well I I'm gonna write a letter to Teresa
BRAD,NA,H Uh THROAT H um H
PHIL,NA,just to tell her that l you know d Thank you for your l you know y what you've done for the board and so forth
BRAD,NA,Mhm
PHIL,NA,and just say you know I'm hoping we are gonna address this letter of concerns that you've given us H
BRAD,NA,Mhm
PHIL,NA,Um Hx she's asked Hx that you know she want she didn't really want her things to be kind of everywhere You know those th
BRAD,NA,Mhm
PHIL,NA,what her comments She really wanted em to be within this TAP p committee TAP H
BRAD,NA,Mhm
PHIL,NA,my f
BRAD,NA,Summarized or X something like that I guess X>
PHIL,NA,S they were her summar- her summary th you know She kyu very m very concisely
BRAD,NA,Yeah
PHIL,NA,I don't know if she put it together or if nancy put it together But
BRAD,NA,Mhm
PHIL,NA,H you know that just says they I d I really had a ho everybody there including Nancy H
BRAD,NA,Mhm
PHIL,NA,You know Uh had very little to to H you know to agree with the validity Okay
BRAD,NA,Yeah
PHIL,NA,It was a matter of I just don't you know see where this is coming from
BRAD,NA,Yeah It's H
PHIL,NA,H Okay you know these are these are rooted
BRAD,NA,I know Jeez
PHIL,NA,obviously in a personal H issue H
BRAD,NA,Yeah
PHIL,NA,Um Teresa is a very sensitive person she f you know I don't I have no doubt that she believes what happened happened H But
BRAD,NA,H Well but
PHIL,NA,My my feeling is as I told them I said H if it's that issue I says you know I said let's just get real here I said
BRAD,NA,Yeah
PHIL,NA,we all know Brad H I said we all know Teresa I said and I don't know anybody on this board who does not tiptoe around Teresa Period
BRAD,NA,Yeah Unhunh
PHIL,NA,H I says I don't know anybody who would even go as far as to say anything of that nature I said H and there it was very clear You know She kept saying prefacing everything with H you know this is not a personal attack This is not a personal H vendetta
BRAD,NA,Yeah yeah yeah yeah Right Right
PHIL,NA,H Which tells you that it is
BRAD,NA,Yeah
PHIL,NA,That's immediately what it said And that's what everybody perceived it
BRAD,NA,Yeah H There
PHIL,NA,H
BRAD,NA,Yeah there have been some uh I'll te well it goes back to if you can believe it I ha H I know she there was a a We had a number of people once at a party H uh like half of the board it was a big mistake of mine
PHIL,NA,Yeah
BRAD,NA,H and I know she felt really snubbed and uh
PHIL,NA,Mhm
BRAD,NA,H and it was and I I called her in fact later And I said Teresa H Thi this was not a w I invited people that helped with the market that year
PHIL,NA,Mhm I think it was two years ago H And I know I mean that wa really upset her And jeez If that's gonna upset her H Uh
PHIL,NA,TSK H Well that's that's the thing that
BRAD,NA,H but anyway
PHIL,NA,that see and the other thing that I've gotta do too is I wanna make sure like for example H Donna's aware that she is not gonna be at this retreat
BRAD,NA,Mhm
PHIL,NA,See I have not called her but I'm gonna call her to tell her that
BRAD,NA,Mhm Yeah
PHIL,NA,You know we're having a board retreat you know
BRAD,NA,Right that it's not gonna include staff if that's what we decide
BRAD,NA,Right Unhunh
PHIL,NA,H And what we will do Hx is I think what we're gonna probably wanna do or what I would like to do is I would like to take a day
BRAD,NA,Mhm
PHIL,NA,H d during the week and we'll just take a whole day That day And myself H uh if we have a uh facilitator
BRAD,NA,Mhm
PHIL,NA,H Um that that person you and Patricia and D Donna
BRAD,NA,Mhm
PHIL,NA,and maybe one other or two other board members would actually spend that day and just say okay this is what went on at that retreat
BRAD,NA,Mhm
PHIL,NA,H These X are the X concerns
BRAD,NA,Yeah
PHIL,NA,H These were comments these are the ones that we feel we can address These are the ones that pertain to you
BRAD,NA,Unhunh Yeah
PHIL,NA,H 
BRAD,NA,H I I am concerned Phil that H you mentioned it yesterday That that there may be a number of questions that just cannot be answered Without me being there
PHIL,NA,Yeah
BRAD,NA,I I I think it's
PHIL,NA,Hi L gato L>
BRAD,NA,H You know I'm gonna have
PHIL,NA,Okay
BRAD,NA,H Can we talk l uh I bet Pat's gonna she's gonna start walking back to the office
PHIL,NA,Yeah
BRAD,NA,H I dropped her at the bookkeeper
PHIL,NA,W w why don't you call me at least a little bit later maybe
BRAD,NA,Yeah
PHIL,NA,and we can <X go X do that
BRAD,NA,Can I do that H Cause I she'll be
PHIL,NA,Hx Ji Jim and I are gonna have lunch
BRAD,NA,Uh I don't want to get her uh
PHIL,NA,I don't know if you have plans or not But we're gonna have lunch later
BRAD,NA,H
PHIL,NA,at noon
BRAD,NA,Sure hx
PHIL,NA,If you wanna join us it'd be great
BRAD,NA,sure Yeah
PHIL,NA,H um
BRAD,NA,you wanna do it where what's the
PHIL,NA,I you know I don't my my feeling is I'm trying to I think H what I wanna do is my my point of wanting to push this retreat I think it was really important was
BRAD,NA,Mhm
PHIL,NA,to do it to e H to make it sound like we're taking it seriously
BRAD,NA,Oh yeah
PHIL,NA,But to also put into perspective and see w that was one point of view why
BRAD,NA,Yeah
PHIL,NA,you know Like I said d d the facilitator in in the beginning I did not wasn't really in support of one And only because I felt
BRAD,NA,Mhm
PHIL,NA,H I wanna make it sound important
BRAD,NA,It would formalize it too much Or 
PHIL,NA,H I want it formalizing it but it's also say I want it to come to the resolution that things aren't that bad
BRAD,NA,Mhm TSK H No
PHIL,NA,and that what
BRAD,NA,I
PHIL,NA,what we and things aren't that bad The thing is that we h do have our attitudes
BRAD,NA,Mhm Mhm
PHIL,NA,H Okay
BRAD,NA,Mhm
PHIL,NA, We have an attitude you know even what Ray's attitude with with Barbara
BRAD,NA,Mhm
PHIL,NA,H is completely unheard of you know and I'm that bothers me a great deal
BRAD,NA,Jeez I just couldn't believe that
PHIL,NA,H
BRAD,NA,When I heard it
PHIL,NA,I  I had you know I came real close to calling Ray and just sitting and talking with him about it
BRAD,NA,Yeah
PHIL,NA,but I figured no
BRAD,NA,Yeah
PHIL,NA,I'm just gonna blow it off
BRAD,NA,I think he's off the board
PHIL,NA,H I'm gonna blow it off
BRAD,NA,he's
PHIL,NA,H I'm not gonna give m
BRAD,NA,Yeah
PHIL,NA,you know we've done everything we needed to do
BRAD,NA,Right
PHIL,NA,H
BRAD,NA,Right
PHIL,NA,I think you know what Barbara told me was that Dolores was incredibly embarrassed by his display at this time in front of her Dolores apologized for Ray to him
BRAD,NA,Really Oh gee
PHIL,NA,H So Dolores is obviously aware that
BRAD,NA,Oh gosh
BRAD,NA,you know and
BRAD,NA,H Yeah
PHIL,NA,she says I don't know why he resigned
BRAD,NA,I don't know what's got X in X
PHIL,NA,because he's been miserable H
BRAD,NA,
PHIL,NA,because w which we know
BRAD,NA,Mhm
PHIL,NA,that's why he was kept trying to get involved and make it sound you know like he and n_you know he was trying to make it sound like H same old complaint same old everything well we didn't have any complaints
BRAD,NA,Yeah
PHIL,NA,H I think this is one of the first years
BRAD,NA,@I know
PHIL,NA,H that this has been so smooth And I think had we realized it
BRAD,NA,Mhm
PHIL,NA,we would have allowed him to take a break four years ago
BRAD,NA,Yeah Yeah
PHIL,NA,H
BRAD,NA,Yeah
PHIL,NA,Because and it wasn't so much it wasn't you know like I told Jim I said it wasn't anything H that POUND you POUND did wasn't anything else
BRAD,NA,Mhm
PHIL,NA,I said it was a matter of H you know m_Brad did and Pat did the organization I said which was the best thing I th I agree with that
BRAD,NA,Mhm
PHIL,NA,I think that was the best thing to do
BRAD,NA,Mhm
PHIL,NA,It was a lot of time
BRAD,NA,Yeah
PHIL,NA,H But I think we need to we need to d establish duties
BRAD,NA,Mhm
PHIL,NA,You know Which we decided And see part of what we decided with these duties is H just deciding what we need to do what You know There's gonna be tasks
BRAD,NA,Mhm
PHIL,NA,H
BRAD,NA,H As specifically as we ca
PHIL,NA,H Hx
BRAD,NA,yeah
PHIL,NA,See and I'm I'm Hx on one hand I'd like to take it back to where the secretary is responsible for the minutes
BRAD,NA,THROAT Unhunh
PHIL,NA,You know Pat does that
BRAD,NA,@Yeah H I know H There's really the secretary serves almost no function
PHIL,NA,Just i th not
BRAD,NA,You know I it's just uh
PHIL,NA,There signs she signs her name thirty times
BRAD,NA,Yeah
PHIL,NA,you know in the last f y
BRAD,NA,Right  Right Phil
PHIL,NA,two days ago H Well
BRAD,NA,H That was it That was it
PHIL,NA,H That's a problem
BRAD,NA,That um
PHIL,NA,I you know and I think we wanna do that We need to say You know Pat's been great enough to do this and if she really wants to do it I'm not gonna dissuade her from doing it
BRAD,NA,Yeah
PHIL,NA,H But one thing we have to be careful of
BRAD,NA,Yeah
PHIL,NA,that I mentioned to Jim and I've mentioned it to Pat lightly
BRAD,NA,Yeah
PHIL,NA,Which is to be careful about H saying things You know like in board meetings In interjecting too much
BRAD,NA,Yes
PHIL,NA,Okay H
BRAD,NA,I know
PHIL,NA,Because in board discussion I mean
BRAD,NA,Yeah
PHIL,NA,o on one hand as a member she has every right To to speak what she wants But
BRAD,NA,Mhm
PHIL,NA,H
BRAD,NA,H No But that's
PHIL,NA,The thing is you know I've just seen some of the looks from some of the people you know who feel Q I'm a board member Q
BRAD,NA,TSK Yeah
PHIL,NA,H And whether the board you know if they don't interject anything but whether they do or not I think we have to be careful
BRAD,NA,Mhm H Well Phil that I mean that goes
PHIL,NA,be because where that came in
BRAD,NA,That goes for me as well then It
PHIL,NA,H Yeah it does But
BRAD,NA,It um
PHIL,NA,I think what's different is You
BRAD,NA,um
PHIL,NA,you've been much more responsive in this sense
BRAD,NA,I mean
PHIL,NA,Okay H Pat's more opinionated in that sense
BRAD,NA,You know I Unhunh
PHIL,NA,Okay
BRAD,NA,H I what I try to do is is is just respond to question
PHIL,NA,TSK H X
BRAD,NA,and if I need to fill in blanks which
PHIL,NA,Oh yeah H That's fine
BRAD,NA,You know
PHIL,NA,That
BRAD,NA,But
PHIL,NA,See but that your your position is different
BRAD,NA,Mhm
PHIL,NA,H Okay
BRAD,NA,That's Yeah that's true
PHIL,NA,Yours is in a is a much more official capacity because you are the one who answers to the board
BRAD,NA,Yeah
PHIL,NA,H
BRAD,NA,Right
PHIL,NA,You have to do that And you are th can voice an opinion about things H
BRAD,NA,Yeah
PHIL,NA,But the biggest deal where I thought it was an issue th where I heard things about it was H during the annual meeting right after when we had the discussion about the poster
BRAD,NA,Oh
PHIL,NA,H When we brought up the thing
BRAD,NA,Was Pat uh
PHIL,NA,Pat was right in the middle of it
BRAD,NA,See I I wasn't there
