MARY,MT,God I said I wasn't gonna do this anymore Stay up late Kinda defeats the purpose of getting up in the morning
ALICE,MT,I know And it's a hard habit to break Usually I don't
MARY,MT,It is
ALICE,MT,s Usually I don't stay up late H But it's like if I'm up after midnight It's just like
MARY,MT,TSK TSK
ALICE,MT,H Hm X Yeah yeah X
MARY,MT,What can I do now
ALICE,MT,@@@@@
MARY,MT,@@ H
ALICE,MT,SWALLOW I still can't
MARY,MT,SWALLOW
ALICE,MT,God I still can't believe Tim bitching around and he lied too He said that he talked to Ron and all this other shit
MARY,MT,About what
ALICE,MT,About the way they were feeling of them being the only ones cleaning the house and all this other shit H I mean what they don't realize is like shit when Ron gets home from work I wanna spend time with Ron because Ron usually doesn't get home till nine or ten
MARY,MT,Yeah
ALICE,MT,Unlike Tim he has to work for every little dime that he makes You know
MARY,MT,Yeah
ALICE,MT,He doesn't get any breaks
MARY,MT,Yeah Tim is on salary and he can take leave and
ALICE,MT,Mhm and he earns leave
MARY,MT,he's
ALICE,MT,he gets sick leave we don't get shit
MARY,MT,TSK I don't know H It is really hard living with another couple
ALICE,MT,I mean we If we set our If we sit down and set some rules which we never did it could work You know
MARY,MT,Mhm
ALICE,MT,H what it amounts to is mutual r respect and l like Tim told Ron H he told him he goes um what was it he goes nobody fucks with my lifestyle I feel the exact same way And all those bitches and complaints that he has H they're about my lifestyle
MARY,MT,Mhm
ALICE,MT,And he doesn't realize that
MARY,MT,THROAT
ALICE,MT,And that's what I'm gonna tell him
MARY,MT,TSK Well you know
ALICE,MT,And the only way it's gonna work is if we have respect for one another
MARY,MT,That's right That's right
ALICE,MT,And it doesn't mean H going to our parents and complaining about one another H I'm gonna tell him if you have any complaints you talk to the person that you have the complaint about H I'm also going to suggest MRC weekly house meetings MRC to discuss such things
MARY,MT,Mhm TSK Oh yeah Yeah You know what it would be a real good lesson for them too in self assertiveness
ALICE,MT,Yep
MARY,MT,you know and especially the way um I mean Tim gets in himself into a uncomfortable situation or whatever H and his first reaction is to blow up about it
ALICE,MT,Mhm
MARY,MT,You know cause he let he lets it pile up
ALICE,MT,Yep
MARY,MT,He doesn't do nothing positive about it and then he just blows up
ALICE,MT,X And if X something bothers you you go and you I was like last year I was really proud of myself when H I was asked to take over intermediate algebra
MARY,MT,Unhunh
ALICE,MT,And teach it
MARY,MT,DRINK DRINK Hx
ALICE,MT,And I did
MARY,MT,DRINK SWALLOW
ALICE,MT,And I also went
MARY,MT,DRINK SWALLOW
ALICE,MT,and I asked for a raise instead of
MARY,MT,SWALLOW
ALICE,MT,cause instead of just sitting in the class and getting five dollars an hour I was now gonna be up there teaching it
MARY,MT,Mhm
ALICE,MT,and instead of getting the five dollars an hour I ended up getting fifteen
MARY,MT,Really
ALICE,MT,But I went and I asked Now if i You know if you put a situation like that to Tim or Mandy cause not because they're they're weak in character or anything but because they're
MARY,MT,They're babies
ALICE,MT,Yeah They hem and haw around and somebody else would have to talk for them You know H
MARY,MT,Yeah
ALICE,MT,Hx
MARY,MT,I don't know X And it's X TSK Right now uh I don't know if I should mention it to him or what but I'm feeling like he's taking me for granted
ALICE,MT,Yep Hx And he's rolling in it Mary And you know what the sad thing the thing that really scares me is that they're n H th at the rate they're going and with all the breaks that they've gotten H they're never gonna have hard times
MARY,MT,Hard times do train you
ALICE,MT,Yep
MARY,MT,They do
